0 0.409013 0.266451
1 0.186949 0.65588
2 0.780366 0.427189
3 0.350035 0.0441206
4 0.66073 0.177139
5 0.57372 0.807066
6 0.709217 0.295755
7 0.0799705 0.592802
8 0.728474 0.831251
9 0.372121 0.479312
10 0.992385 0.581758
11 0.247392 0.0793829
12 0.841122 0.630997
13 0.769504 0.559177
14 0.149093 0.761659
15 0.359419 0.638371
16 0.518131 0.988688
17 0.58451 0.0368169
18 0.0527409 0.827327
19 0.669097 0.682474
20 0.0414173 0.836861
21 0.58924 0.538202
22 0.971914 0.716235
23 0.947709 0.787266
24 0.191328 0.184298
25 0.965572 0.891906
26 0.795363 0.12364
27 0.908023 0.665029
28 0.575246 0.227546
29 0.335959 0.837206
30 0.114242 0.545218
31 0.712016 0.93117
